product_name,sku,
Lenox Gold Locking Tradesman Utility Knife,10771FLK1,
Lenox 5L Snap-Back Hole Saw Arbor 1779669,1779669,
Lenox 6L Snap-Back Hole Saw Arbor 1779670,1779670,
Lenox Standard 1L Hole Saw Arbor 1779774,1779774,
Lenox Standard 2L Hole Saw Arbor 1779801,1779801,
Lenox Standard 3L Hole Saw Arbor 1779802,1779802,
Lenox Standard 4L Hole Saw Arbor 1779803,1779803,
Lenox Standard 5L Hole Saw Arbor 1779804,1779804,
Lenox Standard 6L Hole Saw Arbor 1779805,1779805,
Lenox Gold Utility Knife Blade (5 Pack),20350GOLD5C,
Lenox Gold Utility Knife Blade (50 Pack),20351GOLD50D,
Lenox Gold Quick Change Retractable Knife,20353SSRK1,
"Lenox 18"" PVC/ABS Plastic Pipe Saw",20980HSF18,
"Lenox 18"" PVC/ABS Replacement Blade",20981HSB18,
"Lenox 12"" PVC/ABS Replacement Blade",20982HSB12,
"Lenox 12"" PVC/ABS Plastic Pipe Saw",20985HSF12,
"Lenox 3/4"" Bi-Metal Speed Slot Hole Saw 3001212L",3001212L,
"Lenox 2 7/8"" Bi-Metal Speed Slot Hole Saw 3004646L",3004646L,
"Lenox 3 5/8"" Bi-Metal Speed Slot Hole Saw 3005858L",3005858L,
"Lenox 4 1/2"" Bi-Metal Speed Slot Hole Saw 3007272L",3007272L,
"Lenox 6"" Bi-Metal Speed Slot Hole Saw 3009696L",3009696L,
"Lenox 10"" Pliers Wrench with Smooth Parallel Jaws LXHT90540",LXHT90540,
"Lenox 8"" Quick-Adjust Plier With V-Jaw LXHT90550",LXHT90550,
"Lenox 10"" Quick-Adjust Plier With V-Jaw LXHT90551",LXHT90551,
"Lenox 12"" Quick-Adjust Plier With V-Jaw LXHT90552",LXHT90552,
