product_name,sku
"2"" G-O-N Glue On Nozzle & Escutcheon - Rectorseal 82700",82700
"3"" G-O-N Glue On Nozzle & Escutcheon - Rectorseal 82703",82703
"4"" G-O-N Glue On Nozzle & Escutcheon - Rectorseal 82706",82706
"6"" G-O-N Glue On Nozzle & Escutcheon - Rectorseal 82708",82708
"8"" G-O-N Glue On Nozzle & Escutcheon - Rectorseal 82710",82710
"10"" G-O-N Glue On Nozzle & Escutcheon - Rectorseal 82713",82713
"12"" G-O-N Glue On Nozzle & Escutcheon - Rectorseal 82715",82715
"2"" G-O-N Bird Screen - Rectorseal 82720",82720
"3"" G-O-N Bird Screen - Rectorseal 82723",82723
"4"" G-O-N Bird Screen - Rectorseal 82725",82725
"6"" G-O-N Bird Screen - Rectorseal 82727",82727
"8"" G-O-N Bird Screen - Rectorseal 82730",82730
"10"" G-O-N Bird Screen - Rectorseal 82733",82733
"12"" G-O-N Bird Screen - Rectorseal 82735",82735
"Rectorseal 6"" PVC Clean Check Rebuild Kit",97025
"Rectorseal 6"" Clean Check Extendable Backwater Valve (S x S)",97026
