product_name,our_sku,manufacturer_sku
"PVC  10"" x 10"" Flexible Coupling (Clay x Clay)",01-1010,1001-1010
"PVC  12"" x 12"" Flexible Coupling (Clay x Clay)",01-1212,1001-1212
"PVC  15"" x 15"" Flexible Coupling (Clay x Clay)",01-1515,1001-1515
"PVC  18"" x 18"" Flexible Coupling (Clay x Clay)",01-1818,1001-1818
"PVC  10"" x 10"" Flexible Coupling (Clay x CI/Plastic)",02-1010,1002-1010
"PVC  12"" x 12"" Flexible Coupling (Clay x CI/Plastic)",02-1212,1002-1212
"PVC  15"" x 15"" Flexible Coupling (Clay x CI/Plastic)",02-1515,1002-1515
"PVC  18"" x 18"" Flexible Coupling (Clay x CI/Plastic)",02-1818,1002-1818
"PVC  4"" x 4"" Flexible Coupling (Clay x CI/Plastic) (Box of 30)",02-44_BX,1002-44_BX
"PVC  4"" x 4"" Flexible Coupling & Shear Ring (Clay x CI/Plastic)",02-44RC,1002-44RC
"PVC  6"" x 4"" Flexible Coupling & Shear Ring (Clay x CI/Plastic)",02-64RC,1002-64RC
"PVC  6"" x 6"" Flexible Coupling (Clay x CI/Plastic) (Box of 10)",02-66_BX,1002-66_BX
"PVC  6"" x 6"" Flexible Coupling & Shear Ring (Clay x CI/Plastic)",02-66RC,1002-66RC
"PVC  8"" x 8"" Flexible Coupling & Shear Ring (Clay x CI/Plastic)",02-88RC,1002-88RC
"PVC  12"" x 12"" Flexible Coupling ( Concrete x CI/Plastic)",06-1212,1006-1212
"PVC  21"" x 21"" Flexible Coupling (Clay x Clay)",1001-2121,1001-2121
"PVC  24"" x 24"" Flexible Coupling (Clay x Clay)",1001-2424,1001-2424
"PVC  27"" x 27"" Flexible Coupling (Clay x Clay)",1001-2727,1001-2727
"PVC  4"" x 4"" Flexible Coupling (Clay x Clay)",1001-44,1001-44
"PVC  6"" x 4"" Flexible Coupling (Clay x Clay)",1001-64,1001-64
"PVC  6"" x 6"" Flexible Coupling (Clay x Clay)",1001-66,1001-66
"PVC  8"" x 8"" Flexible Coupling (Clay x Clay)",1001-88,1001-88
"PVC  21"" x 21"" Flexible Coupling (Clay x CI/Plastic)",1002-2121,1002-2121
"PVC 24"" x 24"" Flexible Coupling (Clay x CI/Plastic)",1002-2424,1002-2424
"PVC  4"" x 3"" Flexible Coupling (Clay x CI/Plastic)",1002-43,1002-43
"PVC  4"" x 4"" Flexible Coupling (Clay x CI/Plastic)",1002-44,1002-44
"PVC  4""  x 6"" Flexible Coupling (Clay x CI/Plastic)",1002-46,1002-46
"PVC  6""  x 4"" Flexible Coupling (Clay x CI/Plastic)",1002-64,1002-64
"PVC  6"" x 4"" Flexible Eccentric Coupling (Clay x CI/Plastic)",1002-64EC,1002-64EC
"PVC  6"" x 6"" Flexible Coupling (Clay x CI/Plastic)",1002-66,1002-66
"PVC  8"" x 6"" Flexible Coupling (Clay x CI/Plastic)",1002-86,1002-86
"PVC  8"" x 8"" Flexible Coupling (Clay x CI/Plastic)",1002-88,1002-88
"PVC  4"" x 4"" Flexible Coupling ( Concrete x CI/Plastic)",1006-44,1006-44
"PVC  6"" x 6"" Flexible Coupling ( Concrete x CI/Plastic)",1006-66,1006-66
"PVC  8"" x 8"" Flexible Coupling ( Concrete x CI/Plastic)",1006-88,1006-88
"PVC  6"" x 4"" Flexible Eccentric Coupling (CI/Plastic x CI/Plastic)",1056-64EB,1056-64EB
Fernco Stainless Steel Saddle Clamp,312-300,312-300
"PVC  4"" x 4"" Flexible Coupling (AC/DI/Corrugated x CI/Plastic)",51-44,1051-44
"PVC  6"" x 4"" Flexible Coupling (AC/DI/Corrugated x CI/Plastic)",51-64,1051-64
"PVC  6"" x 6"" Flexible Coupling (AC/DI/Corrugated x CI/Plastic)",51-66,1051-66
"PVC  8"" x 8"" Flexible Coupling (AC/DI/Corrugated x CI/Plastic)",51-88,1051-88
"PVC  10"" x 10"" Flexible Coupling (CI/Plastic x CI/Plastic)",56-1010,1056-1010
"PVC  10"" x 8"" Flexible Coupling (CI/Plastic x CI/Plastic)",56-108,1056-108
"PVC  12"" x 12"" Flexible Coupling (CI/Plastic x CI/Plastic)",56-1212,1056-1212
"PVC  1 1/4"" x 1 1/4"" Flexible Coupling (CI/Plastic x CI/Plastic)",56-125,1056-125
"PVC  1 1/2"" x 1 1/2"" Flexible Coupling (CI/Plastic x CI/Plastic)",56-150,1056-150
"PVC  1 1/2"" x 1 1/4"" Flexible Coupling (CI/Plastic x CI/Plastic)",56-150-125,1056-150-125
"PVC  15"" x 15"" Flexible Coupling (CI/Plastic x CI/Plastic)",56-1515,1056-1515
"PVC  18"" x 18"" Flexible Coupling (CI/Plastic x CI/Plastic)",56-1818,1056-1818
"PVC  21"" x 21"" Flexible Coupling (CI/Plastic x CI/Plastic)",56-2121,1056-2121
"PVC  2"" x 1 1/2"" Flexible Coupling (CI/Plastic x CI/Plastic)",56-215,1056-215
"PVC  2"" x 2"" Flexible Coupling (CI/Plastic x CI/Plastic)",56-22,1056-22
"PVC  24"" x 24"" Flexible Coupling (CI/Plastic x CI/Plastic)",56-2424,1056-2424
"PVC  3"" x 1 1/2"" Flexible Coupling (CI/Plastic x CI/Plastic)",56-315,1056-315
"PVC  3"" x 2"" Flexible Coupling (CI/Plastic x CI/Plastic)",56-32,1056-32
"PVC  3"" x 3"" Flexible Coupling (CI/Plastic x CI/Plastic)",56-33,1056-33
"PVC  3"" x 3"" Flex Coupling & Shear Ring (CI/Plastic x CI/Plastic)",56-33RC,1056-33RC
"PVC  3"" x 3"" White Flexible Coupling (CI/Plastic x CI/Plastic)",56-33WHITE,1056-33W
"PVC  4"" x 1 1/2"" Flexible Coupling (CI/Plastic x CI/Plastic)",56-415,1056-415
"PVC  4"" x 2"" Flexible Coupling (CI/Plastic x CI/Plastic)",56-42,1056-42
"PVC  4"" x 3"" Flexible Coupling (CI/Plastic x CI/Plastic)",56-43,1056-43
"PVC  4"" x 3"" White Flexible Coupling (CI/Plastic x CI/Plastic)",56-43WHITE,1056-43W
"PVC  4"" x 4"" Flexible Coupling (CI/Plastic x CI/Plastic)",56-44,1056-44
"PVC  4"" x 4"" Flexible Coupling (CI/Plastic x CI/Plastic) (Box of 40)",56-44_BX,1056-44_BX
"PVC  4"" x 4"" Flex Coupling & Shear Ring (CI/Plastic x CI/Plastic)",56-44RC,1056-44RC
"PVC  4"" x 4"" White Flexible Coupling (CI/Plastic x CI/Plastic)",56-44WHITE,1056-44W
"PVC  5""  x 4"" Flexible Coupling (CI/Plastic x CI/Plastic)",56-54,1056-54
"PVC  5"" x 5"" Flexible Coupling (CI/Plastic x CI/Plastic)",56-55,1056-55
"PVC  6"" x 4"" Flexible Coupling (CI/Plastic x CI/Plastic)",56-64,1056-64
"PVC  6"" x 6"" Flexible Coupling (CI/Plastic x CI/Plastic)",56-66,1056-66
"PVC  6"" x 6"" Flexible Coupling (CI/Plastic x CI/Plastic) (Box of 10)",56-66_BX,1056-66_BX
"PVC  6"" x 6"" Flex Coupling & Shear Ring (CI/Plastic x CI/Plastic)",56-66RC,1056-66RC
"PVC  8"" x 6"" Flexible Coupling (CI/Plastic x CI/Plastic)",56-86,1056-86
"PVC  8"" x 8"" Flexible Coupling (CI/Plastic x CI/Plastic)",56-88,1056-88
"3"" Flexible Chemical Coupling (PL/CI/GL) CC100G",CC100G,CC100G
"3"" Flexible Chemical Coupling (DU/DI) CC115G",CC115G,CC115G
"4"" Flexible Chemical Coupling (PL/CI/DU/DI/GL) CC125G",CC125G,CC125G
"6"" Flexible Chemical Coupling (PL/CI/DU/DI/GL) CC180G",CC180G,CC180G
"8"" Flexible Chemical Coupling (PL/CI/DU/DI/GL) CC225G",CC225G,CC225G
"10"" Flexible Chemical Coupling (CI/GL) CC275G",CC275G,CC275G
"10"" Flexible Chemical Coupling (PL/DU/DI) CC290G",CC290G,CC290G
"12"" Flexible Chemical Coupling (PL/CI/GL) CC335G",CC335G,CC335G
"12"" Flexible Chemical Coupling (DU/DI) CC345G",CC345G,CC345G
"1 1/2"" Flexible Chemical Coupling (PL/CI/GL) CC56G",CC56G,CC56G
