part_number,description,upc
012-200,SIZE 012 MICRO CLAMP 200SS,018578024168
016-300,SIZE 016 CLAMP 300SS,018578024182
016-316,SIZE 016 CLAMP 316SS,018578024199
020-316,SIZE 020 CLAMP 316SS,018578024212
024-200,SIZE 024 CLAMP 200SS,018578024229
024-300,SIZE 024 CLAMP 300SS,018578003484
024-316,SIZE 024 CLAMP 316SS,018578024236
028-300,SIZE 028 CLAMP 300SS,018578005181
028-316,SIZE 028 CLAMP 316SS,018578024243
032-200,SIZE 032 CLAMP 200SS,018578024250
032-300,SIZE 032 CLAMP 300SS,018578002951
032-316,SIZE 032 CLAMP 316SS,018578017849
038-300,SIZE 038 CLAMP 300SS,018578005198
040-316,SIZE 020 CLAMP 316SS,#N/A
042-300,SIZE 042 CLAMP 300SS,018578002968
042-316,SIZE 042 CLAMP 316SS,018578024298
044-300,SIZE 044 CLAMP 300SS,018578003576
044-316,SIZE 044 CLAMP 316SS,018578017856
052-300,SIZE 052 CLAMP 300SS,018578039087
064-300,SIZE 064 CLAMP 300SS,018578002975
064-316,SIZE 064 CLAMP 316SS,018578017863
080-300,SIZE 080 CLAMP 300SS,018578002982
080-316,SIZE 080 CLAMP 316SS,018578017870
088-300,SIZE 088 CLAMP 300SS,018578003330
088-316,SIZE 088 CLAMP 316SS,018578024328
096-300,SIZE 096 CLAMP 300SS,018578003132
096-316,SIZE 096 CLAMP 316SS,018578017887
1-502-305,6x3 Donut,018578017429
1-502-401,6X4 DONUT,018578014909
1-502-403,6X4 DONUT,018578024342
1-502-405,6X4 DONUT,018578024359
1-502-407,6X4 DONUT,#N/A
1-502-501,6x5 Donut,018578024380
1-502-503,6 X 5 DONUT,#N/A
1-502-515,6 X 5 DONUT,#N/A
1-502-525,6x5 Donut,018578024397
1-502-603,6X6 DONUT,018578024403
1-502-605,6x6 Donut,018578024410
1-502-609,6X6 DONUT,018578000971
1.312-0.375R,1.312 X 0.375 REDUCER,018578046979
1.312-0.625R,1.312 X 0.625 REDUCER,018578046856
1.312-0.750R,1.312 X 0.750 REDUCER,018578046405
1.312-0.880R,1.312 X 0.880 REDUCER,018578046849
1.312-1.050R,1.312 X 1.050 REDUCER,018578046764
1.625-0.375R,1.625 X 0.375 REDUCER,#N/A
1.625-0.625R,1.625 X 0.625 REDUCER,#N/A
1.625-0.750R,1.625 X 0.750 REDUCER,#N/A
1.625-0.880R,1.625 X 0.880 REDUCER,018578048645
1.625-1.050R,1.625 X 1.050 REDUCER,018578049284
1.625-1.317R,1.625 X 1.317 REDUCER,018578045873
1.900-0.375R,1.900 X 0.375 REDUCER,#N/A
1.900-0.625R,1.900 X 0.625 REDUCER,#N/A
1.900-0.750R,1.900 X 0.750 REDUCER,018578046320
1.900-0.880R,1.900 X 0.880 REDUCER,018578041967
1.900-1.050R,1.900 X 1.050 REDUCER,018578043237
1.900-1.317R,1.900 X 1.317 REDUCER,#N/A
1.900-1.625R,1.900 X 1.625 REDUCER,018578046887
10.000-7.125RT,10.000 X 7.125 REDUCER TALL,#N/A
10.000-8.625RT,10.000 X 8.625 REDUCER TALL,#N/A
10.250-2.380R,10.250X2.380 REDUCER,018578030077
10.250-2.875R,10.250X2.875 REDUCER,#N/A
10.250-3.500R,10.250 X 3.500 REDUCER,018578020603
10.250-4.500R,10.250X4.500 REDUCER,018578024441
10.250-4.500REB,10.250X4.500 ECCENTRICREDUCER,018578024458
10.250-5.500REB,10.250X5.500R ECCENTRIC RED,018578024465
10.250-6.380R,10.250X6.380 REDUCER,018578024472
10.250-6.380REB,10.250X6.380 REDUCER ECCENTRIC,018578024489
10.250-6.625R,10.250X6.625 REDUCER,018578024496
10.250-6.625REB,10.250X6.625 ECCENTRIC REDUCER,#N/A
10.250-6.800R,10.250X6.800 REDUCER,#N/A
10.250-6.900R,10.250X6.900 REDUCER,#N/A
10.250-7.200R,10.250X7.200 REDUCER,018578024502
10.250-7.800R,10.250X7.800 REDUCER,018578024519
10.250-8.380R,10.250X8.380 REDUCER,018578024533
10.250-8.500R,10.250X8.500 REDUCER,018578024540
10.250-8.625R,10.250X8.625 REDUCER,018578024564
10.250-9.050R,10.250X9.050 REDUCER,018578024571
10.250-9.050REB,10.250X9.050 ECCENTRIC REDUCER,018578024588
10.250-9.650R,10.250 X 9.650 REDUCER,018578024595
10.600-2.380R,10.600 X 2.380 REDUCER,018578046412
10.600-250MMR,10.600 X 250MM REDUCER,018578018426
10.600-3.380R,10.600 X 3.380 REDUCER,018578024601
10.600-3.500R,10.600 X 3.500 REDUCER,018578024618
10.600-4.380R,10.600 X 4.380 REDUCER,018578013728
10.600-4.380REB,10.600 X 4.380 ECCENTRIC,018578024632
10.600-4.500R,10.600 X 4.500 REDUCER,018578015029
10.600-4.500REB,10.600X4.500 ECCENTRIC REDUCER,018578024649
10.600-4.750R,10.600 X 4.750 REDUCER,018578046139
10.600-5.000R,10.600 X 5.000 REDUCER,018578024656
10.600-5.000REB,10.600X5.000 ECCENTRIC REDUCER,018578024663
10.600-5.500REB,10.600X5.00 ECCENTRIC REDUCER,#N/A
10.600-5.900R,10.600 X 5.900 REDUCER,018578024670
10.600-6.210R,10.600 X 6.210 REDUCER,018578039452
10.600-6.380R,10.600 X 6.380 REDUCER,018578012769
10.600-6.380REB,10.600X6.380 ECCENTRIC REDUCER,018578024694
10.600-6.625R,10.600 X 6.625 REDUCER,018578019133
10.600-6.625REB,10.600 X 6.625 ECCENTRIC REDUC,018578024700
10.600-6.800R,10.600 X 6.800 REDUCER,018578012219
10.600-6.800REB,10.600 X 6.800 ECC REDUCER,018578024724
10.600-7.200R,10.600 X 7.200 REDUCER,018578024748
10.600-7.200REB,10.600X7.200 ECCENTRIC REDUCER,018578024755
10.600-7.800R,10.600 X 7.800 REDUCER,018578024762
10.600-8.160R,10.600 X 8.160 REDUCER,018578024779
10.600-8.380R,10.600 X 8.380 REDUCER,018578004306
10.600-8.380REB,10.600-8.380 REDUCER ECCENTRIC,018578019195
10.600-8.500R,10.600 X 8.500 REDUCER,018578024793
10.600-8.500REB,10.600-8.500 REDUCER ECCENTRIC,018578024809
10.600-8.625R,10.600 X 8.625 REDUCER,018578017320
10.600-8.625REB,10.600-8.625 ECCENTRIC REDUCER,018578024816
10.600-9.050R,10.600 X 9.050 REDUCER,018578024823
10.600-9.050REB,10.600-9.050 ECCENTRIC REDUCER,018578024830
10.600-9.650R,10.600 X 9.650 REDUCER,018578017832
10.600-9.650REB,10.600-9.650 REDUCER ECCENTRIC,018578024847
1000-316HT,SIZE 1000 HT CLAMP 316SS,018578024854
1001-10-6,"COUPLING 10"" x 6"" CLAY",018578012639
1001-10-8,"COUPLING 10"" x 8"" CLAY",018578004788
1001-10-8EB,"COUPLING 10"" x 8"" CLAY ECC",018578024878
1001-10-8OS,"COUPLING 10"" x 8"" CLAY OS",018578024892
1001-10-8OSHTRC,"COUP 10"" x 8"" CLAY OS HT RC",#N/A
1001-10-8RC,"COUPLING 10"" x 8"" CLAY RC",018578047136
1001-1010,"COUPLING 10"" x 10"" CLAY",018578001701
1001-1010A,"COUPLING 10"" X 10"" CLAY 316SS",018578024908
1001-1010HT,"COUPLING 10"" x 10"" CLAY HT",018578024922
1001-1010OS,"COUPLING 10"" x 10"" CLAY OS",018578007093
1001-1010OSHTRC,"COUP 10"" x 10"" CLAY OS HT RC",#N/A
