stock_number,description,size,upc
10078,700™ PVC - REGULAR BODIED,GALLON,012181100783
10079,700™ PVC - REGULAR BODIED,QUART,012181100790
10080,700™ PVC - REGULAR BODIED,PINT,012181100806
10081,700™ PVC - REGULAR BODIED,1/2 PINT,012181100813
10082,700™ PVC - REGULAR BODIED,1/4 PINT,012181100820
10111,710™ PVC - REGULAR BODIED,GALLON,012181101117
10112,710™ PVC - REGULAR BODIED,QUART,012181101124
10113,710™ PVC - REGULAR BODIED,PINT,012181101131
10114,710™ PVC - REGULAR BODIED,1/2 PINT,012181101148
10115,710™ PVC - REGULAR BODIED,1/4 PINT,012181101155
12122,704™ PVC - MEDIUM BODIED,GALLON,012181121221
12123,704™ PVC - MEDIUM BODIED,QUART,012181121238
12124,704™ PVC - MEDIUM BODIED,PINT,012181121245
12125,704™ PVC - MEDIUM BODIED,1/2 PINT,012181121252
12126,704™ PVC - MEDIUM BODIED,1/4 PINT,012181121269
10085,705™ PVC - MEDIUM BODIED,GALLON,012181100851
10089,705™ PVC - MEDIUM BODIED,QUART,012181100899
10093,705™ PVC - MEDIUM BODIED,PINT,012181100936
10097,705™ PVC - MEDIUM BODIED,1/2 PINT,012181100974
10100,705™ PVC - MEDIUM BODIED,1/4 PINT,012181101001
10086,705™ PVC - MEDIUM BODIED,GALLON,012181100868
10090,705™ PVC - MEDIUM BODIED,QUART,012181100905
10094,705™ PVC - MEDIUM BODIED,PINT,012181100943
10098,705™ PVC - MEDIUM BODIED,1/2 PINT,012181100981
10101,705™ PVC - MEDIUM BODIED,1/4 PINT,012181101018
10160,721™ PVC - MEDIUM BODIED,GALLON,012181101605
10161,721™ PVC - MEDIUM BODIED,QUART,012181101612
10162,721™ PVC - MEDIUM BODIED,PINT,012181101629
10163,721™ PVC - MEDIUM BODIED,1/2 PINT,012181101636
10849,721™ PVC - MEDIUM BODIED,1/4 PINT,012181108499
10117,711™ PVC - HEAVY BODIED,GALLON,012181101179
10119,711™ PVC - HEAVY BODIED,QUART,012181101193
10121,711™ PVC - HEAVY BODIED,PINT,012181101216
10123,711™ PVC - HEAVY BODIED,1/2 PINT,012181101230
10141,717™ PVC - HEAVY BODIED,GALLON,012181101414
10144,717™ PVC - HEAVY BODIED,QUART,012181101445
10147,717™ PVC - HEAVY BODIED,PINT,012181101476
10150,717™ PVC - HEAVY BODIED,1/2 PINT,012181101506
10861,717™ PVC - HEAVY BODIED,1/4 PINT,012181108611
10142,717™ PVC - HEAVY BODIED,GALLON,012181101421
10145,717™ PVC - HEAVY BODIED,QUART,012181101452
10148,717™ PVC - HEAVY BODIED,PINT,012181101483
10151,717™ PVC - HEAVY BODIED,1/2 PINT,012181101513
13078,719™ PVC - EXTRA HEAVY BODIED,GALLON,012181130780
10156,719™ PVC - EXTRA HEAVY BODIED,QUART,012181101568
10155,719™ PVC - EXTRA HEAVY BODIED,GALLON,012181101551
10157,719™ PVC - EXTRA HEAVY BODIED,QUART,012181101575
10159,719™ PVC - EXTRA HEAVY BODIED,PINT,012181101599
12658,719™ PVC - EXTRA HEAVY BODIED,10.3 oz,
10164,725™ WET 'R DRY™ PVC - MEDIUM BODIED,GALLON,012181101643
10165,725™ WET 'R DRY™ PVC - MEDIUM BODIED,QUART,012181101650
10166,725™ WET 'R DRY™ PVC - MEDIUM BODIED,PINT,012181101667
10167,725™ WET 'R DRY™ PVC - MEDIUM BODIED,1/2 PINT,012181101674
10850,725™ WET 'R DRY™ PVC - MEDIUM BODIED,1/4 PINT,012181108505
10840,727™ HOT ' R COLD™ PVC - MEDIUM BODIED,GALLON,012181108406
10841,727™ HOT ' R COLD™ PVC - MEDIUM BODIED,QUART,012181108413
10842,727™ HOT ' R COLD™ PVC - MEDIUM BODIED,PINT,012181108420
12494,735™ WET 'N FAST™ PVC - MEDIUM BODIED,GALLON,012181124949
12495,735™ WET 'N FAST™ PVC - MEDIUM BODIED,QUART,012181124956
12496,735™ WET 'N FAST™ PVC - MEDIUM BODIED,PINT,012181124963
12497,735™ WET 'N FAST™ PVC - MEDIUM BODIED,1/2 PINT,012181124970
12498,735™ WET 'N FAST™ PVC - MEDIUM BODIED,1/4 PINT,012181124987
10988,737™ TURF 'N AG™ PVC - MEDIUM BODIED,GALLON,012181109885
10989,737™ TURF 'N AG™ PVC - MEDIUM BODIED,QUART,012181109892
10990,737™ TURF 'N AG™ PVC - MEDIUM BODIED,PINT,012181109908
11984,737™ TURF 'N AG™ PVC - MEDIUM BODIED,1/2 PINT,012181119846
11985,737™ TURF 'N AG™ PVC - MEDIUM BODIED,1/4 PINT,012181119853
11727,795™ PVC - MEDIUM BODIED,GALLON,012181117279
11905,795™ PVC - MEDIUM BODIED,QUART,012181119051
10278,795™ PVC - MEDIUM BODIED,GALLON,012181102787
10280,795™ PVC - MEDIUM BODIED,QUART,012181102800
10281,795™ PVC - MEDIUM BODIED,PINT,012181102817
10282,795™ PVC - MEDIUM BODIED,1/2 PINT,012181102824
10283,795™ PVC - MEDIUM BODIED,1/4 PINT,012181102831
13550,740™ POOL REGULAR PVC,GALLON,012181135501
13551,740™ POOL REGULAR PVC,QUART,012181135518
13552,740™ POOL REGULAR PVC,PINT,012181135525
13553,740™ POOL REGULAR PVC,1/2 PINT,012181135532
13554,744™ POOL MEDIUM PVC,GALLON,012181135549
13555,744™ POOL MEDIUM PVC,QUART,012181135556
13556,744™ POOL MEDIUM PVC,PINT,012181135563
13557,744™ POOL MEDIUM PVC,1/2 PINT,012181135570
13558,744™ POOL MEDIUM PVC,GALLON,012181135587
13559,744™ POOL MEDIUM PVC,QUART,012181135594
13562,746™ POOL HEAVY PVC,GALLON,012181135624
13563,746™ POOL HEAVY PVC,QUART,012181135631
13566,746™ POOL HEAVY PVC,GALLON,012181135662
13567,746™ POOL HEAVY PVC,QUART,012181135679
13568,746™ POOL HEAVY PVC,PINT,012181135686
13569,746™ POOL HEAVY PVC,1/2 PINT,012181135693
10851,747™ POOL 'R SPA™ PVC,GALLON,012181108512
10852,747™ POOL 'R SPA™ PVC,QUART,012181108529
10853,747™ POOL 'R SPA™ PVC,PINT,012181108536
10854,747™ POOL 'R SPA™ PVC,1/2 PINT,012181108543
10855,747™ POOL 'R SPA™ PVC,1/4 PINT,012181108550
13655,748™ POOL FAST™ PVC,GALLON,012181136553
13342,748™ POOL FAST™ PVC,QUART,012181133422
13343,748™ POOL FAST™ PVC,PINT,012181133439
13344,748™ POOL FAST™ PVC,1/2 PINT,012181133446
10126,713™ CPVC - REGULAR BODIED,QUART,012181101261
10127,713™ CPVC - REGULAR BODIED,PINT,012181101278
10128,713™ CPVC - REGULAR BODIED,1/2 PINT,012181101285
10129,713™ CPVC - REGULAR BODIED,1/4 PINT,012181101292
11025,FLOWGUARD GOLD® CPVC - MEDIUM BODIED,GALLON,012181110256
11026,FLOWGUARD GOLD® CPVC - MEDIUM BODIED,QUART,012181110263
11027,FLOWGUARD GOLD® CPVC - MEDIUM BODIED,PINT,012181110270
11028,FLOWGUARD GOLD® CPVC - MEDIUM BODIED,1/2 PINT,012181110287
11029,FLOWGUARD GOLD® CPVC - MEDIUM BODIED,1/4 PINT,012181110294
10131,714™ CPVC - HEAVY BODIED,QUART,012181101315
10134,714™ CPVC - HEAVY BODIED,PINT,012181101346
10130,714™ CPVC - HEAVY BODIED,GALLON,012181101308
10132,714™ CPVC - HEAVY BODIED,QUART,012181101322
10135,714™ CPVC - HEAVY BODIED,PINT,012181101353
10137,714™ CPVC - HEAVY BODIED,1/2 PINT,012181101377
12233,724™ CPVC - HEAVY BODIED,GALLON,012181122334
11659,724™ CPVC - HEAVY BODIED,QUART,012181116593
11890,724™ CPVC - HEAVY BODIED,PINT,012181118900
12817,724™ CPVC - HEAVY BODIED,GALLON,012181128176
12818,724™ CPVC - HEAVY BODIED,QUART,012181128183
13531,724™ CPVC - HEAVY BODIED,PINT,012181135310
10844,729™ CPVC - EXTRA HEAVY BODIED,GALLON,012181108444
10845,729™ CPVC - EXTRA HEAVY BODIED,QUART,012181108451
10230,771™ ABS - MEDIUM BODIED,GALLON,012181102305
10232,771™ ABS - MEDIUM BODIED,QUART,012181102329
10233,771™ ABS - MEDIUM BODIED,PINT,012181102336
10241,773™ ABS - MEDIUM BODIED,GALLON,012181102411
10243,773™ ABS - MEDIUM BODIED,QUART,012181102435
10244,773™ ABS - MEDIUM BODIED,PINT,012181102442
10245,773™ ABS - MEDIUM BODIED,1/2 PINT,012181102459
10246,773™ ABS - MEDIUM BODIED,1/4 PINT,012181147979
11248,790™ (MULTI-PURPOSE) - MEDIUM BODIED,GALLON,012181112489
10257,790™ (MULTI-PURPOSE) - MEDIUM BODIED,QUART,012181102572
10258,790™ (MULTI-PURPOSE) - MEDIUM BODIED,PINT,012181102589
10259,790™ (MULTI-PURPOSE) - MEDIUM BODIED,1/2 PINT,012181102596
10260,790™ (MULTI-PURPOSE) - MEDIUM BODIED,1/4 PINT,012181102602
10272,794™ (ABS-PVC TRANSITION) - MEDIUM BODIED,GALLON,012181102725
10273,794™ (ABS-PVC TRANSITION) - MEDIUM BODIED,QUART,012181102732
