item_id,item_description,upc
BT1200E,"CAUTION (3 FT, UNITS: X 1000 FT) BARRICADE TAPE",052837026548
BT1211,SB3102Y13 CAUTION CUIDADO - (3 IN X 1000 FT) STANDARD BARRICADE TAPE,841749048508
BT1214,SB3102R21 DANGER DANGER DANGER (3 IN X 1000 FT RED POLY) STANDARD BARRICADE TAPE,841749025028
BT300,B332Y16-730 CAUTION CAUTION CAUTION (3 IN X 300 FT) STANDARD BARRICADE TAPE,841749052833
BT511,SBR35XY13 CAUTION CUIDADO - (3 IN X 500 FT) ENFORCED BARRICADE TAPE *NEW ITEM,841749047921
BT514,SBR35XR174 DANGER DANGER DANGER (3 IN X 500 FT RED POLY) ENFORCED BARRICADE TAPE *NEW ITEM,841749025134
FDT2BEL,2 IN CAUTION BURIED ELECTRIC LINE BELOW,052837022939
FDT2BFOL,2 IN CAUTION: BURIED FIBER OPTIC LINE BELOW,052837023080
FDT2BGL,2 IN CAUTION: BURIED GAS LINE BELOW,052837022991
FDT2BSL,2 IN CAUTION: BURIED SEWER LINE BELOW,052837023110
FDT2BWL,2 IN CAUTION: BURIED WATER LINE BELOW,052837023059
FDT3BEL,3 IN CAUTION: BURIED ELECTRIC LINE BELOW,052837022946
FDT3BFOL,3 IN CAUTION: BURIED FIBER OPTIC LINE BELOW,052837028467
FDT3BGL,3 IN CAUTION: BURIED GAS LINE BELOW,052837023004
FDT3BSL,3 IN CAUTION: BURIED SEWER LINE BELOW,052837023127
FDT3BWL,3 IN CAUTION: BURIED WATER LINE BELOW,052837023066
FDT6BEL,6 IN CAUTION: BURIED ELECTRIC LINE BELOW,052837022953
103B,"PROCHALK® LEVEL 1, STANDARD, BLUE, 3 LBS",052837020584
103BD,"PROCHALK® LEVEL 5, STAINING DYE, BLUE, 3 LBS",052837026036
103BLACK,"PROCHALK® LEVEL 3, SEMI-PERMANENT, BLACK, 3 LBS",052837026203
103BLACKD,"PROCHALK® LEVEL 5, STAINING DYE, BLACK, 3 LBS",052837029143
103GO,"PROCHALK® LEVEL 2, HIGH-VISIBILITY, GLO-ORANGE, 3 LBS",052837020591
103R,"PROCHALK® LEVEL 3, SEMI-PERMANENT, RED, 3 LBS",052837020577
103RD,"PROCHALK® LEVEL 5, STAINING DYE, RED, 3 LBS",052837026856
105B,"PROCHALK® LEVEL 1, STANDARD, BLUE, 5 LBS",052837006328
105BLACK,"PROCHALK® LEVEL 3, SEMI-PERMANENT, BLACK, 5 LBS",052837026210
105GL,"PROCHALK® LEVEL 2, HIGH-VISIBILITY, GLO-LIME, 5 LBS",052837020188
105GO,"PROCHALK® LEVEL 2, HIGH-VISIBILITY, GLO-ORANGE, 5 LBS",052837006410
105R,"PROCHALK® LEVEL 3, SEMI-PERMANENT, RED, 5 LBS",052837006304
105W,"PROCHALK® LEVEL 1, STANDARD, WHITE, 5 LBS",052837006311
105Y,"PROCHALK® LEVEL 2, HIGH-VISIBILITY, YELLOW, 5 LBS",052837006335
125B,"PROCHALK® LEVEL 1, STANDARD, BLUE, 25 LBS",052837006526
125GO,"PROCHALK® LEVEL 2, HIGH-VISIBILITY, GLO-ORANGE, 25 LBS",052837006540
125R,"PROCHALK® LEVEL 3, SEMI-PERMANENT, RED, 25 LBS",052837006502
125W,"PROCHALK® LEVEL 1, STANDARD, WHITE, 25 LBS",052837006519
