catalog_number,description,upc
2,WRNCH LCKNG 10LW 10IN,038548000022
3,VISE 4IN MECHS BULK,734442000488
4,WRNCH LCKNG 7LW 7,038548000046
5,VISE T-5 5IN MECH T-5,734442000723
6,VISE T-6 6IN MECH T-6,734442000846
8,WRNCH LCKNG 4LW 4,038548000084
17,CLMP LCKNG 6R 6IN/REG TIP,038548000176
18,CLMP LCKNG 6SP 6IN/SW PAD,038548000183
19,CLMP LCKNG 11R 11IN/REG TIP,038548000190
20,CLAMP LCKNG 11SP 11IN / SW PAD,038548000206
21,CLMP LCKNG 18R 18IN/REG TIP,038548000213
22,CLMP LCKNG 18SP 18IN/SW PAD,038548000220
23,CLMP LCKNG 8R 8IN SHEET MTL,038548000237
28,CLMP LCKNG 24SP 24IN/SW PAD,038548000282
29,PLIER LCKNG RR 7IN PINCH OFF,038548000299
30,CLMP LCKNG 9DR 9IN/REG TIP,038548003009
31,CLMP LCKNG 9SP 9IN/SW PAD,038548003108
36,PLIER LCKNG ORIGINAL SET 7WR 6LN,038548000367
37,PLIER LCKNG ORIGINAL 2PC SET 10WR 5WR,038548000374
68,PLIER LCKNG ORIGINAL 5PC KIT BAG SET,038548000688
71,PLIER LCKNG ORIGINAL 4PC KIT BAG SET,038548000718
73,PLIER LCKNG ORIGINAL 3PC KIT BAG SET,038548000732
74,PLIER LCKNG ORIGINAL 544T 5PC SET/TSHIRT,038548000749
165,CLMP LCKNG 4SP 4IN/SW PAD,038548001654
251,CLMP LCKNG 9AC 9IN PANL,038548002514
275,CLMP LCKNG 24R 24IN/REG TIP,038548002750
382,"5"" RANDOM ORBIT PALM GRIP SANDER",885911210324
557,7.0 AMP DELUXE PLATE JOINER KIT,039404005571
641,PLIER LCKNG ORIGINAL 6PC KITBAG SET W/6,038548006413
1018,TAP 6-32NC TAPER,042526010187
1021,TAP 6-48NS TAPER,042526010217
1024,TAP 8-32NC TAPER,042526010248
1026,TAP 8-40NS TAPER,042526010262
1028,TAP 10-24NC TAPER,042526010286
1118,TAP 6-32NC PLUG,042526011184
1124,TAP 8-32NC PLUG,042526011245
1131,TAP 10-32NF PLUG,042526011313
1132,TAP 12-24NC PLUG,042526011320
1221,TAP 6-48NS BOTTOM,042526012211
1228,TAP 10-24NC BOTTOM,042526012280
1327,"TAP 5/16""-18NC TAPER",042526013270
1334,"TAP 3/8""-16NC TAPER",042526013348
1344,"TAP 1/2""-13NC TAPER",042526013447
1349,"TAP 9/16""-18NF TAPER",042526013492
1352,"TAP 5/8""-11NC TAPER",042526013522
1354,"TAP 5/8""-18NF TAPER""",042526013546
1360,"TAP 3/4""-16NF TAPER",042526013607
1361,"TAP 7/8""-9NC TAPER",042526013614
1420,TAP 1/4IN-20NC PLUG,042526014208
1436,TAP 3/8IN-24NF PLUG,042526014369
1440,TAP 7/16IN-20NF PLUG,042526014406
1445,TAP 1/2IN-20NF PLUG,042526014451
1448,TAP 9/16IN-12NC PLUG,042526014482
1449,TAP 9/16 IN-18NF PLUG,042526014499
1452,TAP 5/8 IN-11NC PLUG,042526014529
1454,TAP 5/8IN-18NF PLUG,042526014543
1460,TAP 3/4IN-16NF PLUG,042526014604
1461,TAP 7/8IN-9NC PLUG,042526014611
1463,TAP 7/8IN-14NF PLUG,042526014635
1520,TAP 1/4IN-20NC BOTTOM,042526015205
1523,"TAP 1/4""-28NF BOTTOM",042526015236
1527,"TAP 5/16""-18NC BOTTOM",042526015274
1534,"TAP 3/8""-16NC BOTTOM",042526015342
1536,"TAP 3/8""-24NF BOTTOM",042526015366
1539,"TAP 7/16""-14NC BOTTOM",042526015397
1544,"TAP 1/2""-13NC BOTTOM",042526015441
1561,"TAP 7/8""-9NC BOTTOM",042526015618
1563,"TAP 7/8""-14NF BOTTOM",042526015632
1727,TAP 6-1MM PLUG,042526017278
1735,TAP 9-0 75MM PLUG,042526017353
1736,TAP 9-1MM PLUG,042526017360
1737,TAP 9-1 25MM PLUG,042526017377
1738,TAP 10-1MM PLUG,042526017384
1739,TAP 10-1 25MM PLUG,042526017391
1750,TAP 14-1 5MM PLUG,042526017506
1840,TAP 10-1 5MM BOTTOM,024721053206
1855,TAP 16-1 5MM BOTTOM,024721053251
1856,TAP 16-2 0MM BOTTOM,024721053268
1920,TAP + DIE 12PC SET NPT RE-THREAD,042526019203
2612,TAP 3/16IN-24NS 3PC SET,042526026126
2634,TAP 3/8-16NC 3PC SET,042526026348
2640,TAP 7/16IN-20NF 3PC SETIN,042526026409
2648,TAP 9/16-12NC 3PC SET,042526026485
2654,TAP 5/8-18NF 3PC SET,042526026546
2712,TAP 3MM-0.5 3PC SET,024721027122
2733,TAP 8MM-1.0 3PC SET,024721027337
2740,TAP 10-1 5MM 3PC SET,024721027405
3712,DIE 4-40NC 1IN RD ADJ,042526037122
3718,DIE 6-32NC 1IN RD ADJ,042526037184
3728,DIE 10-24NC 1IN RD ADJ,042526037283
3731,DIE 10-32NF 1IN RD ADJ,042526037313
3732,DIE 12-24NC 1IN RD ADJ,042526037320
3823,DIE 1/4IN-28NF 1IN RD ADJ,042526038235
3827,DIE 5/16IN-18NC 1IN RD ADJ,042526038273
3829,DIE 5/16IN-24NF 1IN RD ADJ,042526038297
3834,DIE 3/8IN-16NC 1IN RD ADJ,042526038341
3836,DIE 3/8IN-24NF 1IN RD ADJ,042526038365
3839,DIE 7/16IN-14NC 1IN RD ADJ,042526038396
3840,DIE 7/16IN-20NF 1IN RD ADJ,042526038402
3844,DIE 1/2IN-13NC 1IN RD ADJ,042526038440
3845,DIE 1/2IN-20NF 1IN RD ADJ,042526038457
4008,"SPRING PLIER LCKNG VISE-GRIP FOR 10""",038548040080
4023,DIE 1/4-28 NF 1-1/2 RD ADJ,042526040238
4044,DIE 1/2-13 NC 1-1/2 RD ADJ,042526040443
4052,DIE 5/8-11 NC 1-1/2 RD ADJ,042526040528
4054,DIE 5/8-18 NF 1-1/2 RD ADJ,042526040542
4092,SPRING PLR LCKNG VISE-GRIP FOR 4 inch,038548040929
4105,DIE 1/2-14 NPT 1-1/2 RD,042526041051
4210,12IN DOVETAIL JIG,039404135346
4212,12IN DELUXE DOVETAIL JIG,039404135353
4213,THROUGH DOVETAIL BOX JOINT TEMPLET KIT,039404135308
4215,MINI-THROUGH TEMPLET,039404135315
4216,12IN DELUXE DOVETAIL JIG COMBINATION KIT,028877559292
4261,DIE 7/8-9 NC 2 RD ADJ,042526042614
4263,DIE 7/8IN-14NF 2IN RD ADJ,042526042638
4265,DIE 1-8 NC 2 RD ADJ,042526042652
4267,DIE 1-14 NS 2 RD ADJ,042526042676
4305,DIE 1/2-14 NPT 2 RD ADJ,042526043055
4306,DIE 3/4-14 NPT 2 RD ADJ,042526043062
4668,"DIE 1-1/8""-7NC 3"" RD ADJ",024721046680
4669,"DIE 1-1/8""-12NF 3"" RD ADJ",024721046697
4670,"DIE 1-1/4""-7NC 3"" RD ADJ",024721046703
4671,"DIE 1-1/4""-12NF 3"" RD ADJ",024721046710
4674,"DIE 1-1/2""-6NC 3"" RD ADJ",024721046741
4675,"DIE 1-1/2""-12NF 3"" RD ADJ",024721046758
5102,DIE 1/8-27 NPT 1-1/2 RD ADJ,024721051028
5103,DIE 1/4-18 NPT 1-1/2 RD ADJ,024721051035
5104,DIE 3/8-18 NPT 1-1/2 RD ADJ,024721051042
5105,DIE 1/2-14 NPT 1-1/2 RD ADJ,024721051059
5558,TOOTH 4IN BLADE,039404102034
5561,TUBE BISCUIT SIZE 10,039404111142
5562,TUBE BISCUIT SIZE 20,039404111166
5563,FACE FRAME BISCUIT,039404102058
6112,"DIE 4-40NC 5/8"" HEX",042526061127
6118,"DIE 6-32NC 5/8"" HEX",042526061189
6124,"DIE 8-32NC 5/8"" HEX",042526061240
6128,DIE 10-24 5/8 SH,042526061288
6131,"DIE 10-32NF 5/8"" HEX",042526061318
6132,"DIE 12-24NC 5/8"" HEX",042526061325
6317,"DIE 4-0 7MM 5/8"" HEX",042526063176
6322,DIE 5-0 8MM 5/8IN HEX,042526063220
6327,"DIE 6-1MM 5/8"" HEX",042526063275
6424,"DIE 8-32NC 1"" HEX",042526064241
6428,"DIE 10-24NC 1"" HEX",042526064289
6431,DIE 10-32NF 1 IN HEX,042526064319
6536,DIE 3/8IN-24NF 1IN HEX,042526065361
6540,DIE 7/16IN-20NF 1IN HEX,042526065408
6544,DIE 1/2IN-13NC 1IN HEX,042526065446
6545,DIE 1/2IN-20NF 1IN HEX,042526065453
6627,DIE 6-1MM 1IN HEX,042526066276
6634,DIE 8-1 25MM 1IN HEX,042526066344
6640,DIE 10-1 5MM 1IN HEX,042526066405
6702,"DIE 1/8""-27NPT 1"" HEX",042526067020
6703,"DIE 1/4""-18NPT 1"" HEX",042526067037
6711,"DIE 1/8""-28BSP 1"" HEX",024721067111
6712,"DIE 1/4""-19BSP 1"" HEX",024721067128
6848,DIE 9/16-12 1 7/16 NC SH,042526068485
6849,DIE 9/16-18 1 7/16 NF SH,042526068492
6852,DIE 5/8-11 1 7/16 NC SH,042526068522
6854,DIE 5/8-18 1-7/16 NF SH,042526068546
6858,DIE 3/4-10 1 7/16 NC SH,042526068584
6952,DIE 14MM-2.0 1 7/16 SH,042526069529
6954,DIE 16MM-1.0 1 7/16 SH,024721069542
6956,DIE 16MM-2.0 1 7/16 SH,042526069567
6959,DIE 18MM-1.5 1 7/16 SH,042526069598
7005,DIE 1/2-14 1 7/16 NPT SH,042526070051
7220,"DIE 1/4""-20NC RE-THRD",042526072208
7223,"DIE 1/4""-28NF RE-THRD",042526072239
7229,DIE 5/16-24 11/16 NF HRT,042526072291
7234,DIE 3/8-16 25/32 NC HRT,042526072345
7236,DIE 3/8-24 25/32 NF HRT,042526072369
7239,DIE 7/16-14 7/8 NC HRT,042526072390
7240,DIE 7/16-20 7/8 NF HRT,042526072406
7244,DIE 1/2-13 1 1/16 NC HRT,042526072444
7245,DIE 1/2-20 1 1/16 NF HRT,042526072451
7252,DIE 5/8-11 1 1/4 NC HRT,042526072529
7254,DIE 5/8-18 1 1/4 NF HRT,042526072543
7260,DIE 3/4-16 1 7/16 NF HRT,042526072604
7261,DIE 7/8-9 1 5/8 NC HRT,042526072611
7263,DIE 7/8-14 1 5/8 NF HRT,042526072635
7265,DIE 1-8 1 13/16 NC HRT,042526072659
7267,DIE 1-14 1 13/16 NS HRT,042526072673
7268,DIE 1 1/8-7 2 NC HRT,042526072680
7269,DIE 1 1/8-12 2 NF HRT,042526072697
7270,DIE 1 1/4-7 2 3/16 NC HRT.,042526072703
7271,DIE 1 1/4-12 2 3/16 NF HRT,042526072710
7272,DIE 1 3/8-6 2 3/8 NC HRT,042526072727
7273,DIE 1 3/8-12 2 3/8 NF HRT,042526072734
7274,DIE 1 1/2-6 2 9/16 NC HRT,042526072741
7275,DIE 1 1/2-12 2 9/16 NF HRT,042526072758
7373,DIE 30MM-1.5 HRT,042526073731
7402,DIE 1/8-27 NPT HRT,042526074028
7404,DIE 3/8-18 NPT HRT,042526074042
7405,DIE 1/2-14 NPT HRT,042526074059
7407,DIE 1 11-1/2 NPT HRT,042526074073
7529,DIE 5/16-24 1 LH RD ADJ,042526075292
7536,DIE 3/8-24 1 LH RD ADJ,042526075360
7545,DIE 1/2-20 1 LH RD ADJ,042526075452
7752,DIE 5/8-11 1 1/4 NC LH HRT,024721077523
7758,DIE 3/4-10 1 7/16 NC LH HRT,024721077585
7760,DIE 3/4-16 1 7/16 NF LH HRT,024721077608
7761,DIE 7/8-9 1 5/8 NC LH HRT,024721077615
8011,TAP 4-36 NS PLUG,042526080111
