sku,item_description,upc
11050,FOAMCORE 1GAL,021449110501
11060,D-FACTOR 1GAL,021449110600
11070,COIL-CURE 18OZ NET WT,021449110709
11072,Coil-Cure Liquid Quart,021449110723
11074,Coil-Cure Liquid Gallon,
11600,WIRE SN EMPTY CS W/FOAM INSERT,021449116008
14000,1.7 OZ REGULAR PASTE FLUX-48 P,052541140004
14002,1.7 OZ REGULAR PASTE FLUX- 144,021449140027
14010,4 OZ REGULAR PASTE FLUX,052541140103
14020,8 OZ REGULAR PASTE FLUX -TOOL,052541140202
14030,1 LB REGULAR PASTE FLUX,052541140301
14115,8 OZ 95/5 PRE-TINNING PASTE FL,052541141155
14720,8 OZ COLD WEAT'R PASTE FLUX-TO,052541147201
14730,1 LB COLD WEATHER PASTE FLUX,052541147300
14820,8 OZ HOT WEATHER PASTE FLUX,052541148208
14830,1 LB HOT WEATHER PASTE FLUX,052541148307
17432,PT CANS RECTORSEAL NO7,021449174329
19015,PERSONAL FACEMASK,021449190152
19016,FACEMASK FILTER KIT 10PK,021449190169
19051,NO. 2 ACID BRUSH,021449190510
19054,"1"" FITTING BRUSH  PLASTIC",021449190541
19068,"3/8"" X 6"" ACID BRUSH",021449190688
19073,PVC CEMENT SWAB APPLICATOR,021449190732
19078,"3/4"" X 7"" ACID BRUSH",021449190787
19233,"1"" FITTING BRUSH  STAINLESS",021449192330
19235,"1-1/4"" FITTING BRUSH  STAINLES",021449192354
19239,"2"" FITTING BRUSH  STAINLESS",021449192392
19240,"2"" FITTING BRUSH  CARBON",021449192408
23195,5 GAL PL INTERNATL T PLUS 2,021449231954
23391,QT CANS T PLUS 2 - BRUSH TOP,021449233910
23431,PT CANS T PLUS 2,021449234313
23551,1/2 PT CANS T PLUS 2,021449235518
23552,1/2 PT CANS T PLUS 2  - 8PK,021449235518
23631,1/4 PT CANS T PLUS 2,021449236317
23633,1/4 PT CANS T PLUS 2 - 12PK,021449236317
23710,1-3/4 OZ TUBE T PLUS 2 - DISPL,021449237109
25271,GAL CANS RECTORSEAL #5,021449252713
25300,QT CANS RECTORSEAL #5 W/ BRUSH,021449253000
25431,PT CANS RECTORSEAL #5,021449254311
25551,1/2 PT CANS RECTORSEAL #5,021449255516
25631,1/4 PT CANS RECTORSEAL #5,021449256315
25633,1/4 PT CANS RECTORSEAL#5-12PK,021449256315
25790,1-3/4 OZ TUBES RECTORSEAL #5-D,021449257909
25793,1 3/4 OZ TUBE #5 12 PK DISPLY,021449257930
26112,55 GAL DRUMS RECTORSEAL #5 SPE,021449261128
26390,QT CANS RECTORSEAL #5 SPECIAL,021449263900
26431,PT CANS RECTORSEAL #5 SPECIAL,021449264310
26551,1/2 PT CANS RECTORSEAL #5 SPEC,021449265515
27460,QT CANS RECTORSEAL #5 SUB-ZERO,021449274609
27541,PT CANS RECTORSEAL #5 SUB-ZERO,021449275415
27651,1/2 PT CANS RECTORSEAL #5 SUB-,021449276511
27731,1/4 PT CANS RECTORSEAL #5 SUB-,021449277310
28541,PT CANS BLACK JACK 21,021449285414
28651,1/2 PT CANS BLACK JACK 21,021449286510
31300,QT CANS TRU-BLU - B/T,021449313001
