item_number,catalog_number,upc,item_description
01240,R5GBUCKET,757033012400,REED PROMO 5-GAL BUCKET
01385,704,757033013858,704 MID LINE VISE 4IN
01387,705,757033013872,705 MID LINE VISE 5IN
01389,706,757033013896,706 MID LINE VISE 6IN
01390,708,757033013902,708 MID LINE VISE 8IN
01522,24 1/2 C,757033015227,24-1/2C UTILITY VISE
01532,25 1/2 C,757033015326,25-1/2C UTILITY VISE
01542,26 1/2 C,757033015425,26-1/2C UTILITY VISE
01545,26B,757033015456,26B UTILITY VISE
01570,VC4,757033015708,VC4 VISE JAW CAPS - PAIR
01580,VC5,757033015807,VC5 VISE JAW CAPS - PAIR
01590,VC6,757033015906,VC6 VISE JAW CAPS - PAIR
02040,WA14,757033020405,WA14 CHAIN WRENCH - HEAVY DUTY
02050,WA18A,757033020504,WA18 CHAIN WRENCH - HEAVY DUTY
02060,WA24A,757033020603,WA24 CHAIN WRENCH - HEAVY DUTY
02070,WA36,757033020702,WA36 CHAIN WRENCH - HEAVY DUTY
02080,WA48,757033020801,WA48 CHAIN WRENCH - HEAVY DUTY
02090,WA60,757033020900,WA60 CHAIN WRENCH - HEAVY DUTY
02092,WA72,757033020924,WA72 CHAIN WRENCH - HEAVY DUTY
02093,ARW10,757033020931,ARW10 ALUM PIPE WRENCH - HEAVY DUTY
02094,WA84,757033020948,WA84 CHAIN WRENCH - HEAVY DUTY
02095,ARW14,757033020955,ARW14 PIPE WRENCH ALUMINUM
02097,ARW18,757033020979,ARW18 ALUM PIPE WRENCH - HEAVY DUTY
02099,ARW24,757033020993,ARW24 ALUM PIPE WRENCH - HEAVY DUTY
02101,ARW36,757033021013,ARW36 ALUM PIPE WRENCH - HEAVY DUTY
02102,ARW48,757033021020,ARW48 ALUM PIPE WRENCH - HEAVY DUTY
02111,R110HEX,757033021112,R110 OFFSET HEX WRNCH 2-5/8IN
02112,RSPUD,757033021129,RSPUD SPUD WRENCH
02114,RCORP,757033021143,RCORP CORP WRENCH FOR2 IN CORP STOP
02117,RCORP3,757033021174,RCORP WRENCH WITH RCORPSK3
02119,RCORPSK3,757033021198,CORP STOP KEY DISC
02120,RW8,757033021204,RW8 PIPE WRENCH - HEAVY DUTY
02121,RF10,757033021211,RF10 10IN REFINERY WRENCH
02130,RW10,757033021303,RW10 PIPE WRENCH-HEAVY DUTY
02140,RW12,757033021402,RW12 PIPE WRENCH - HEAVY DUTY
02150,RW14,757033021501,RW14 PIPE WRENCH - HEAVY DUTY
02160,RW18,757033021600,RW18 PIPE WRENCH - HEAVY DUTY
02170,RW24,757033021709,RW24 PIPE WRENCH - HEAVY DUTY
02180,RW36,757033021808,RW36 PIPE WRENCH - HEAVY DUTY
02190,RW48,757033021907,RW48 PIPE WRENCH - HEAVY DUTY
02199,CW4,757033021990,CW4 4IN ADJUSTABLE CHROME WRENCH
02201,CW6,757033022010,CW6 6IN ADJUSTABLE WRENCH
02202,ARWO14,757033022027,ARWO14 14IN ALMOFFSET - 90
02203,CW8,757033022034,CW8 8IN ADJUSTABLE WRNCH
02204,ARWO18,757033022041,ARWO18 18 IN OFFSET ALUM WRENCH
02205,CW10,757033022058,CW10 10IN ADJUSTABLE WRENCH
02207,CW12,757033022072,CW12 12IN ADJUSTABLE WRENCH
02209,CW15,757033022096,CW15 15IN ADJUSTABLE WRENCH
02211,CW18,757033022119,CW18 18IN ADJUSTABLE WRENCH
02212,CWB6,757033022126,CWB6 6IN BLACK ADJUSTABLE WRENCH
02213,CWB8,757033022133,CWB8 8IN BLACK ADJUSTABLE WRENCH
02214,CWB10,757033022140,CWB10 10IN BLACK ADJUSTABLE WRENCH
02215,CWB12,757033022157,CWB12 12IN BLACK ADJUSTABLE WRENCH
02216,CWB15,757033022164,CWB15 15IN BLACK ADJUSTABLE WRENCH
02217,CWB18,757033022171,CWB18 18IN BLACK ADJUSTABLE WRENCH
02218,CW24,757033022188,CW24 ADJUSTABLE WRENCH-CHROME
02220,RWO10,757033022201,RWO10 PIPE WRNCH-OFFSET- HEAVY DUTY
02225,LHM2275,757033022256,LHM2275 DL SKT-HYMAX (R)INCH&METRIC
02230,RWO14,757033022300,RWO14 PIPE WRNCH-OFFSET- HEAVY DUTY
02232,ASW12A30,757033022324,ASW12A30 ALUMINUM STRAP WRENCH
02234,ASW18A48,757033022348,ASW18A48 ALUMINUM STRAP WRENCH
02236,SW24A72,757033022362,"SW24A72 DUCT. IRON STRAP WR.W/72"" STRAP"
02237,CSK,757033022379,"CSK 1/2"" DRIVE SOCKET FOR STANDARD CORP"
02247,SW12A30,757033022478,SW12A30 STRAP WRENCH W/ 30IN STRAP
02248,SW12A,757033022485,SW12A STRAP WRENCH
02249,SW18A,757033022492,SW18A STRAP WRENCH
02250,SW24A,757033022508,SW24A STRAP WRENCH
02251,L2017,757033022515,L2017 DL SCKT WRENCH 1 1/4 & 1 1/16
02252,L1817,757033022522,L1817 DL SCKT WRENCH 1 1/8 & 1 1/16
02253,L1815,757033022539,L1815 DL SCKT WRENCH 15/16 & 1 1/8
02255,SW18A48,757033022553,SW18A48 STRAP WRENCH W/ 48IN STRAP
02258,L50,757033022584,L50 HANDLE
02259,L51,757033022591,L51 HANDLE - CAST RETAIN RING
02260,L500,757033022607,L500 HANDLE - CAST QK REL
02261,L150,757033022614,L150 HANDLE - STAMPED RETAIN RING
02262,L151,757033022621,L151 HANDLE - STAMPED RETAIN RING
02263,L564,757033022638,L564 ADJUSTABLE HNDLE - CAST QK REL
02265,L12,757033022652,L12 SOCKET 3/4IN
02266,L14,757033022669,L14 SOCKET 7/8IN
02267,L15,757033022676,L15 SOCKET 15/16IN
02268,L16,757033022683,L16 SOCKET 1IN
02269,L17,757033022690,L17 SOCKET 1 1/16IN
02270,L18,757033022706,L18 SOCKET 1 1/8IN
02271,L20,757033022713,L20 SOCKET 1 1/4IN
02272,L25,757033022720,L25 SOCKET CORPORATION
02281,MW1 1/4,757033022812,MW 1 1/4 ONE HAND WRENCH
02283,HWB,757033022836,HWB HYDRANT WRENCH (CAST DUCTILE)
02284,L511,757033022843,L511 THRU BOLT UTILITY SET
02285,L515,757033022850,L515 THRU BOLT UTILITY SET
02286,L514,757033022867,L514 ADJUSTABLE ANGLE RATCHET SET
02289,MW3/4,757033022898,MW3/4 ONE HAND WRNCH
02291,L16-1,757033022911,L16-1 SQUARE DRIVE RATCHET WRENCH
02292,L16-7/8,757033022928,L16-7/8 SQUARE DRIVE RATCHET WRENCH
02295,HW,757033022959,HW HYDRANT WRENCH (FORGED STEEL)
02298,TW516,757033022980,TW516 TORQUE WRENCH
02300,TW38,757033023000,TW38 TORQUE WRENCH
02301,MH26,757033023017,MH26 26 1/2IN MANHOLE COVER HOOK
02302,MH30,757033023024,MH30 30IN MANHOLE COVER HOOK
02303,MH36,757033023031,MH36 36IN MANHOLE COVER HOOK
02306,R450+,757033023062,R450+ TRIPOD 1/8IN - 6IN
02311,R40+,757033023116,R40+ YKE-TYPE TRIPOD 1/8IN -2- 1/2IN
02327,MP175-6,757033023277,"MP175-6 PITPMP 1-3/4"" X 6' (92326)"
02340,VKA,757033023406,VKA ADJ. VALVE KEY FOR GATEVALVES
02341,VKP,757033023413,"VKP PIVOT HEAD VALVE KEY 2"""
02345,VKP10,757033023451,VKP10 PIVOT HEAD VALVE KEY W/3FT EXT.
02346,VK2CK1,757033023468,VK2CK1 VALVE&CURB KEY
02347,VK2CK2,757033023475,VK2CK2 VALVE&CURB KEY
02349,VKRCK1,757033023499,VKRCK1 RATCHETING VALVE KEY W/CK1
02350,VKREXT,757033023505,VKREXT RATCHETING VALVE KEY W/ EXT.
02351,VKR1EXT,757033023512,"VKR1EXT 1"" RATCHETING KEY W/ EXT"
02353,VK3CK1WHL,757033023536,VK3CK1WHL VALVE&CURB&WHEEL KEY
02356,VK3CK1ROD,757033023567,"VK3CK1ROD VALVE,ROD,CURB KEY"
02357,VK3CK1CK2,757033023574,VK3CK1CK2 VALVE&CURB KEY
02358,VK3CK1EXT,757033023581,VK3CK1EXT VLV&CRB KEY W/EXTENSIONS
02364,MKF2,757033023642,MKF2 METER BOX KEY
02366,VK3CK1EXT3,757033023666,"MAIN VALVE KEY + 1"" CURB KEY + 3' EXT"
02367,MKF324,757033023673,"MKF324 METER KEY, 24"" LONG"
02368,VK6KIT,757033023680,VK6KIT W/VK2 & VK3 PARTS & EXT SHFT
02369,VKP3CK1CK2,757033023697,"VKP3CK1CK2 VKP & 3/4"",1"" CURB KEYS"
02375,MKDT,757033023758,"MKDT DUCTILE ""T"" METER LID KEY"
02380,MKH10820,757033023802,MKH10820 MULTI.PENT. METER KEY
02386,MW1 1/4 GRIP,757033023864,MW1 1/4 GRIP
