sku,upc
RK-Y1,671090016631
RK-Y34,671090016624
S3-1,671090007004
S3-2,671090007028
S3-3,671090007035
S3-4,671090007042
S3-5,671090007059
S3-6,671090007066
S3-7,671090007073
S4H-1,671090075560
S4H-2,671090075577
S4H-3,671090075645
S4H-4,671090075591
S4H-5,671090075607
S4H-6,671090075614
S4H-7,671090075621
Y1-1,671090003853
Y1-2,671090003877
Y1-3,671090003891
Y1-4,671090003914
Y1-5,671090003938
Y1-6,671090003952
Y1-7,671090003976
Y34-1,671090004386
Y34-2,671090004416
Y34-3,671090004447
Y34-4,671090004478
Y34-5,671090004508
Y34-6,671090004539
Y34-7,671090004560
Y95-1,671090004911
Y95-2,671090004973
Y95-3,671090005031
Y95-4,671090005093
Y95-5,671090005154
Y95-6,671090005215
Y95-7,671090005253
